season,team_a,team_b,team_a_id,team_b_id,actual_team_a_win,actual_winner,actual_loser,winner_seed,loser_seed,actual_upset,regular_season_power_gap,team_a_power_rating,team_b_power_rating,factor_only_probability,power_baseline_probability,combined_probability,matchup_adjustment_probability_points,combined_prediction_correct,kenpom_netrtg_a,kenpom_netrtg_b,kenpom_netrtg_gap,kenpom_team_a_probability,model_team_a_probability,model_actual_winner_probability,kenpom_actual_winner_probability,actual_winner_probability_gap_pp,model_correct,kenpom_correct,model_predicted_winner,kenpom_predicted_winner,comparison_category
2023,Princeton,Arizona,1343,1112,1,Princeton,Arizona,15.0,2.0,True,-6.048159696320951,4.810789470829064,10.858949167150016,0.428871289593894,0.2237498340623758,0.2551401508868899,3.1390316824514097,False,8.04,21.9,-13.86,0.09372491235717688,0.2551401508868899,0.2551401508868899,0.09372491235717688,16.1415238529713,False,False,Arizona,Arizona,both_incorrect
2018,Gonzaga,Ohio St,1211,1326,1,Gonzaga,Ohio St,4.0,5.0,False,5.708228458709087,15.073452461663464,9.365224002954378,0.6084625644579206,0.7463240514742383,0.7189139090894099,-2.7410142384828418,True,23.03,21.16,1.870000000000001,0.5660012523282135,0.7189139090894099,0.7189139090894099,0.5660012523282135,15.291265676119636,True,True,Gonzaga,Gonzaga,both_correct
2023,Kansas St,FL Atlantic,1243,1194,0,FL Atlantic,Kansas St,9.0,3.0,True,-4.237604142935396,7.165113047819574,11.40271719075497,0.3287943255986968,0.2918982356257229,0.3077796145212882,1.588137889556529,True,18.51,19.38,-0.8699999999999974,0.45612951481366315,0.3077796145212882,0.6922203854787118,0.5438704851863368,14.834990029237494,True,True,FL Atlantic,FL Atlantic,both_correct
2017,Oregon,Kansas,1332,1242,1,Oregon,Kansas,3.0,1.0,True,1.061710505808108,12.73255327338795,11.670842767579842,0.5932272843773104,0.5401522910031369,0.54108923426858,0.0936943265443135,True,25.02,27.45,-2.4299999999999997,0.3947729131843387,0.54108923426858,0.54108923426858,0.3947729131843387,14.631632108424132,True,False,Oregon,Kansas,model_only_correct
2023,Kansas,Arkansas,1242,1116,0,Arkansas,Kansas,8.0,1.0,True,1.1606096399714811,9.15723911936024,7.9966294793887585,0.4907898336046741,0.5450024127234923,0.5358467764077476,-0.9155636315744676,False,22.85,18.05,4.800000000000001,0.6764834762736243,0.5358467764077476,0.4641532235922524,0.32351652372637574,14.063669986587668,False,False,Kansas,Kansas,both_incorrect
2018,UCLA,St Bonaventure,1417,1382,0,St Bonaventure,UCLA,11.0,11.0,False,-0.9019342260775148,5.616432738124985,6.5183669642024995,0.5246418393306957,0.4434780919358178,0.453809425428022,1.0331333492204164,True,13.52,11.21,2.3099999999999987,0.5833280949128802,0.453809425428022,0.546190574571978,0.4166719050871198,12.951866948485813,True,False,St Bonaventure,UCLA,model_only_correct
2018,Oklahoma,Rhode Island,1328,1348,0,Rhode Island,Oklahoma,7.0,10.0,False,-2.919616015038514,4.8355971101851765,7.75521312522369,0.5238424651207815,0.348474908088983,0.3730073634638074,2.4532455374824345,True,14.16,13.93,0.23000000000000043,0.5003264395105125,0.3730073634638074,0.6269926365361926,0.4996735604894875,12.73190760467051,True,False,Rhode Island,Oklahoma,model_only_correct
2018,Buffalo,Arizona,1138,1112,1,Buffalo,Arizona,13.0,4.0,True,-2.3972103203499717,7.168021372245889,9.56523169259586,0.3260184949933599,0.3722624774037993,0.3758430199872084,0.3580542583409118,False,11.53,17.7,-6.17,0.2631016694521822,0.3758430199872084,0.3758430199872084,0.2631016694521822,11.27413505350262,False,False,Arizona,Arizona,both_incorrect
2022,Purdue,St Peter's,1345,1389,0,St Peter's,Purdue,15.0,3.0,True,7.768351699495184,11.28290856469711,3.514556865201925,0.8738586914256294,0.8155042431075729,0.8045571085030011,-1.094713460457175,False,22.36,7.24,15.12,0.9168648340270018,0.8045571085030011,0.1954428914969989,0.08313516597299819,11.23077255240007,False,False,Purdue,Purdue,both_incorrect
2021,West Virginia,Syracuse,1452,1393,0,Syracuse,West Virginia,11.0,3.0,True,1.3255652975607148,5.938615724181915,4.6130504266212,0.3607001990745525,0.553072609326123,0.5305854370297848,-2.248717229633823,False,20.51,16.75,3.7600000000000016,0.6387828732152064,0.5305854370297848,0.4694145629702152,0.36121712678479356,10.819743618542166,False,False,West Virginia,West Virginia,both_incorrect
2018,Kansas St,Kentucky,1243,1246,1,Kansas St,Kentucky,9.0,5.0,True,-2.7703930345253687,5.063978976330759,7.834372010856128,0.5934058973387003,0.3551990342564284,0.3848305604251568,2.963152616872844,False,14.77,20.44,-5.670000000000002,0.2790164230564796,0.3848305604251568,0.3848305604251568,0.2790164230564796,10.581413736867717,False,False,Kentucky,Kentucky,both_incorrect
2017,New Orleans,Mt St Mary's,1309,1291,0,Mt St Mary's,New Orleans,16.0,16.0,False,0.702467753285049,0.3174453961335217,-0.3850223571515272,0.5052608219870108,0.5224772919998181,0.5182630571601993,-0.4214234839618802,False,-0.52,-3.86,3.34,0.623025962831254,0.5182630571601993,0.48173694283980073,0.376974037168746,10.476290567105472,False,False,New Orleans,New Orleans,both_incorrect
2021,Norfolk St,Appalachian St,1313,1111,1,Norfolk St,Appalachian St,16.0,16.0,False,2.368913710051586,1.935010670557176,-0.4339030394944103,0.6900998068871733,0.6033055786758995,0.6033006982914033,-0.0004880384496197,True,-4.47,-4.71,0.2400000000000002,0.5007292574605473,0.6033006982914033,0.6033006982914033,0.5007292574605473,10.2571440830856,True,True,Norfolk St,Norfolk St,both_correct
2022,Connecticut,New Mexico St,1163,1308,0,New Mexico St,Connecticut,12.0,5.0,True,4.18893088184258,9.74651721638213,5.55758633453955,0.7162762993887929,0.6854410107763554,0.6751659263813173,-1.0275084395038103,False,18.55,10.61,7.940000000000001,0.7761896369121445,0.6751659263813173,0.32483407361868266,0.2238103630878555,10.102371053082715,False,False,Connecticut,Connecticut,both_incorrect
2023,FL Atlantic,Memphis,1194,1272,1,FL Atlantic,Memphis,9.0,8.0,True,2.9833959378635058,11.40271719075497,8.419321252891464,0.617332471342483,0.6319702476042003,0.6205142740046974,-1.14559735995029,True,19.38,18.53,0.8499999999999979,0.5252796083451826,0.6205142740046974,0.6205142740046974,0.5252796083451826,9.523466565951477,True,True,FL Atlantic,FL Atlantic,both_correct
2017,Purdue,Iowa St,1345,1235,1,Purdue,Iowa St,4.0,5.0,False,1.98902820793721,12.40752151113422,10.41849330319701,0.5228098071507143,0.5852086043401845,0.5725482705759052,-1.266033376427933,True,23.12,23.45,-0.3299999999999983,0.47778324645509207,0.5725482705759052,0.5725482705759052,0.47778324645509207,9.476502412081311,True,False,Purdue,Iowa St,model_only_correct
2018,Wichita St,Marshall,1455,1267,0,Marshall,Wichita St,13.0,4.0,True,7.346016717629027,10.80837425221111,3.4623575345820825,0.846533906387883,0.8026163075913756,0.7899390750093098,-1.2677232582065767,False,19.03,6.53,12.5,0.8785039409674146,0.7899390750093098,0.21006092499069018,0.12149605903258542,8.856486595810475,False,False,Wichita St,Wichita St,both_incorrect
2022,Kentucky,St Peter's,1246,1389,0,St Peter's,Kentucky,15.0,2.0,True,9.918843962863916,13.433400828065842,3.514556865201925,0.9333071442463116,0.8711443492735673,0.862277222352028,-0.8867126921539348,False,25.72,7.24,18.479999999999997,0.9498783193633709,0.862277222352028,0.13772277764797203,0.05012168063662914,8.760109701134288,False,False,Kentucky,Kentucky,both_incorrect
2022,Richmond,Iowa,1350,1234,1,Richmond,Iowa,12.0,5.0,True,-7.861319539651076,4.2844128052230275,12.145732344874103,0.2274366618754998,0.1676709423199786,0.1890817177971265,2.1410775477147954,False,9.45,22.72,-13.27,0.10211762730713993,0.1890817177971265,0.1890817177971265,0.10211762730713993,8.696409048998657,False,False,Iowa,Iowa,both_incorrect
2017,Kansas St,Cincinnati,1243,1153,0,Cincinnati,Kansas St,6.0,11.0,False,-6.6264812546668,6.444819065212599,13.071300319879398,0.259685546481328,0.2045294436007759,0.2251541072689365,2.0624663668160625,True,17.44,22.18,-4.739999999999998,0.31013306962216136,0.2251541072689365,0.7748458927310635,0.6898669303778386,8.49789623532249,True,True,Cincinnati,Cincinnati,both_correct
2018,Nevada,Texas,1305,1400,1,Nevada,Texas,7.0,10.0,False,5.011561409977704,10.148091641199857,5.136530231222153,0.5841110340967498,0.7193907705855254,0.6931081933036723,-2.6282577281853015,True,18.39,15.43,2.960000000000001,0.6085409926803014,0.6931081933036723,0.6931081933036723,0.6085409926803014,8.456720062337098,True,True,Nevada,Nevada,both_correct
2017,Northwestern,Vanderbilt,1321,1435,1,Northwestern,Vanderbilt,8.0,9.0,False,0.8757356987192111,6.386604546386366,5.510868847667155,0.698378503780359,0.5310119780358494,0.5438295228872324,1.2817544851382978,True,15.81,16.53,-0.7200000000000006,0.4621313464397444,0.5438295228872324,0.5438295228872324,0.4621313464397444,8.1698176447488,True,False,Northwestern,Vanderbilt,model_only_correct
2023,UCLA,Gonzaga,1417,1211,0,Gonzaga,UCLA,3.0,2.0,True,1.5648171992319675,13.58101430536503,12.016197106133063,0.7530258717135982,0.5647270086854487,0.5780183331835262,1.3291324498077572,False,27.29,23.02,4.27,0.6575196410905834,0.5780183331835262,0.42198166681647375,0.34248035890941664,7.950130790705712,False,False,UCLA,UCLA,both_incorrect
2017,Rhode Island,Creighton,1348,1166,1,Rhode Island,Creighton,11.0,6.0,True,-0.6553372017504699,8.345758405650557,9.001095607401027,0.5776675142030582,0.4555350633540772,0.4687665984298605,1.323153507578334,False,16.26,18.83,-2.5699999999999967,0.38939622291001535,0.4687665984298605,0.4687665984298605,0.38939622291001535,7.937037551984516,False,False,Creighton,Creighton,both_incorrect
2023,Purdue,F Dickinson,1345,1192,0,F Dickinson,Purdue,16.0,1.0,True,13.241168568971716,11.070418312942635,-2.170750256029081,0.9286824307072636,0.9287471912428878,0.9150865606602128,-1.366063058267497,False,23.24,-8.36,31.599999999999998,0.9936685303675034,0.9150865606602128,0.08491343933978723,0.006331469632496645,7.858196970729059,False,False,Purdue,Purdue,both_incorrect
2019,Wisconsin,Oregon,1458,1332,0,Oregon,Wisconsin,12.0,5.0,True,1.737251119828514,9.426317701684596,7.689066581856082,0.6466093049215531,0.5730832055761768,0.5737059610173438,0.0622755441167077,False,21.94,17.86,4.080000000000002,0.6505928416391331,0.5737059610173438,0.42629403898265616,0.3494071583608669,7.688688062178928,False,False,Wisconsin,Wisconsin,both_incorrect
2017,Villanova,Wisconsin,1437,1458,0,Wisconsin,Villanova,8.0,1.0,True,4.528719520709444,15.594903769847306,11.066184249137862,0.588207172525166,0.6997342394354251,0.676196811245632,-2.3537428189793097,False,29.88,22.99,6.890000000000001,0.7454354358197814,0.676196811245632,0.323803188754368,0.25456456418021856,6.923862457414942,False,False,Villanova,Villanova,both_incorrect
2019,Temple,Belmont,1396,1125,0,Belmont,Temple,11.0,11.0,False,-6.030784563561568,3.5548530472938182,9.585637610855386,0.4155321763084726,0.2243467162088552,0.2547467507262091,3.0400034517353873,True,9.72,14.09,-4.369999999999999,0.32303035527971596,0.2547467507262091,0.7452532492737909,0.676969644720284,6.8283604553506905,True,True,Belmont,Belmont,both_correct
2023,Tennessee,FL Atlantic,1397,1194,0,FL Atlantic,Tennessee,9.0,4.0,True,2.2098590985929008,13.61257628934787,11.40271719075497,0.6697249888347396,0.5957598610824705,0.59494799198111,-0.081186910136044,False,23.8,19.38,4.420000000000002,0.6629413181602165,0.59494799198111,0.40505200801888996,0.3370586818397835,6.799332617910647,False,False,Tennessee,Tennessee,both_incorrect
2023,Iowa St,Pittsburgh,1235,1338,0,Pittsburgh,Iowa St,11.0,6.0,True,2.0873342143425475,7.079473891307515,4.9921396769649675,0.650084370147721,0.5899159161864475,0.5881384847306157,-0.1777431455831757,False,17.04,12.86,4.18,0.6542466729783669,0.5881384847306157,0.4118615152693843,0.3457533270216331,6.610818824775122,False,False,Iowa St,Iowa St,both_incorrect
2018,Loyola-Chicago,Kansas St,1260,1243,1,Loyola-Chicago,Kansas St,11.0,9.0,True,3.3562946158833427,8.420273592214102,5.063978976330759,0.4570522574376296,0.6489353887666697,0.6211876629577013,-2.7747725808968338,True,16.39,14.77,1.620000000000001,0.5560812336321632,0.6211876629577013,0.6211876629577013,0.5560812336321632,6.510642932553812,True,True,Loyola-Chicago,Loyola-Chicago,both_correct
2022,TCU,Arizona,1395,1112,0,Arizona,TCU,1.0,9.0,False,-10.939946411625527,4.502465892273065,15.442412303898593,0.2035142548328542,0.0988064175940575,0.121526946877688,2.2720529283630553,True,17.02,25.96,-8.940000000000001,0.18599719649299531,0.121526946877688,0.8784730531223119,0.8140028035070047,6.4470249615307225,True,True,Arizona,Arizona,both_correct
2023,West Virginia,Maryland,1452,1268,0,Maryland,West Virginia,8.0,9.0,False,-0.5683729247957814,7.020514735070591,7.588887659866373,0.4659004674700328,0.4598002519804684,0.4622247849929943,0.2424533012525931,True,18.82,17.99,0.8300000000000018,0.5244759661272331,0.4622247849929943,0.5377752150070056,0.47552403387276687,6.2251181134238776,True,False,Maryland,West Virginia,model_only_correct
2023,Michigan St,Kansas St,1277,1243,0,Kansas St,Michigan St,3.0,7.0,False,-2.126062237948503,5.039050809871071,7.165113047819574,0.4296286007507269,0.3848661228466644,0.3959600171971203,1.1093894350455935,True,17.61,18.51,-0.9000000000000021,0.45493061939216656,0.3959600171971203,0.6040399828028797,0.5450693806078335,5.897060219504624,True,True,Kansas St,Kansas St,both_correct
2018,Cincinnati,Nevada,1153,1305,0,Nevada,Cincinnati,7.0,2.0,True,5.724709545044503,15.87280118624436,10.148091641199857,0.6787418829067365,0.7469401189595254,0.7250362808465968,-2.190383811292862,False,26.6,18.39,8.21,0.783656295370423,0.7250362808465968,0.27496371915340323,0.21634370462957697,5.862001452382626,False,False,Cincinnati,Cincinnati,both_incorrect
2023,Texas,Miami FL,1400,1274,0,Miami FL,Texas,5.0,2.0,True,4.40293600166005,11.041263829471715,6.638327827811665,0.6369387202371259,0.6944863350440705,0.6757108184279749,-1.8775516616095669,False,24.43,17.94,6.489999999999998,0.7330129246199469,0.6757108184279749,0.32428918157202513,0.26698707538005306,5.730210619197207,False,False,Texas,Texas,both_incorrect
2019,Auburn,Kentucky,1120,1246,1,Auburn,Kentucky,5.0,2.0,True,-0.917679887132465,10.991788256424272,11.909468143556737,0.4463337499852888,0.4427103363759835,0.4461338669266028,0.3423530550619336,False,25.0,27.57,-2.5700000000000003,0.38939622291001513,0.4461338669266028,0.4461338669266028,0.38939622291001513,5.673764401658765,False,False,Kentucky,Kentucky,both_incorrect
2021,Michigan,UCLA,1276,1417,0,UCLA,Michigan,11.0,1.0,True,4.8524316098529,9.345037560386814,4.492605950533914,0.7249366093891908,0.7129997088379372,0.6995776717879161,-1.3422037050021096,False,29.67,22.43,7.240000000000002,0.7559880943413481,0.6995776717879161,0.3004223282120839,0.24401190565865194,5.641042255343198,False,False,Michigan,Michigan,both_incorrect
2021,Arkansas,Texas Tech,1116,1403,1,Arkansas,Texas Tech,3.0,6.0,False,0.9116148877147624,9.618108260475296,8.706493372760534,0.6063120565667125,0.5327771854604275,0.5361443532099324,0.3367167749504851,True,21.56,21.81,-0.25,0.48100030817970657,0.5361443532099324,0.5361443532099324,0.48100030817970657,5.51440450302258,True,False,Arkansas,Texas Tech,model_only_correct
2022,Duke,Texas Tech,1181,1403,1,Duke,Texas Tech,2.0,3.0,False,0.9088076981902162,12.63548101261216,11.726673314421944,0.497513668457328,0.5326391045525921,0.5260798445302083,-0.6559260022383828,True,25.15,25.64,-0.490000000000002,0.4713549144103305,0.5260798445302083,0.5260798445302083,0.4713549144103305,5.472493011987778,True,False,Duke,Texas Tech,model_only_correct
2019,Ohio St,Iowa St,1326,1235,1,Ohio St,Iowa St,11.0,6.0,True,-4.914443816026006,4.752662712643669,9.667106528669676,0.2683160896483989,0.2650419499243903,0.2791535486394872,1.411159871509693,False,14.66,22.09,-7.43,0.22566903911457434,0.2791535486394872,0.2791535486394872,0.22566903911457434,5.348450952491287,False,False,Iowa St,Iowa St,both_incorrect
2021,Loyola-Chicago,Georgia Tech,1260,1210,1,Loyola-Chicago,Georgia Tech,8.0,9.0,False,7.732014286600474,12.334168782767051,4.602154496166577,0.8052705054065212,0.8144214784823323,0.7961420557562825,-1.8279422726049763,True,24.32,17.5,6.82,0.7432892139253436,0.7961420557562825,0.7961420557562825,0.7432892139253436,5.285284183093886,True,True,Loyola-Chicago,Loyola-Chicago,both_correct
2018,Virginia,UMBC,1438,1420,0,UMBC,Virginia,16.0,1.0,True,14.947084641938744,15.569937732975376,0.6228530910366317,0.9671942270492692,0.948077761534012,0.9389730136520597,-0.9104747881952258,False,29.53,0.5,29.03,0.9904514729494316,0.9389730136520597,0.06102698634794035,0.009548527050568412,5.147845929737194,False,False,Virginia,Virginia,both_incorrect
2017,Oklahoma St,Michigan,1329,1276,0,Michigan,Oklahoma St,7.0,10.0,False,-1.838787652900237,8.772817753917764,10.611605406818,0.5464589806528005,0.398389688461002,0.4176744104620167,1.9284722001014665,True,22.48,23.05,-0.5700000000000003,0.46814417396505464,0.4176744104620167,0.5823255895379833,0.5318558260349453,5.0469763503038,True,True,Michigan,Michigan,both_correct
2018,Clemson,Kansas,1155,1242,0,Kansas,Clemson,1.0,5.0,False,-2.9914193469385015,8.383434922099795,11.374854269038297,0.4892449820489196,0.3452605692031544,0.3673188831931557,2.2058313990001297,True,21.65,23.49,-1.8399999999999999,0.41769864113596467,0.3673188831931557,0.6326811168068442,0.5823013588640353,5.037975794280891,True,True,Kansas,Kansas,both_correct
2021,Houston,Oregon St,1222,1333,1,Houston,Oregon St,2.0,12.0,False,13.74532837375547,14.236392520596056,0.4910641468405856,0.9655980948480672,0.9350646624244052,0.9262344564477752,-0.8830205976629979,True,28.75,16.4,12.350000000000001,0.8759005679655036,0.9262344564477752,0.9262344564477752,0.8759005679655036,5.03338884822716,True,True,Houston,Houston,both_correct
2019,Florida St,Gonzaga,1199,1211,0,Gonzaga,Florida St,1.0,4.0,False,-12.26627604889856,9.085750514073254,21.352026562971815,0.255487966325769,0.0777987074053227,0.1024058184230289,2.4607111017706225,True,22.39,32.85,-10.46,0.15172363509369363,0.1024058184230289,0.8975941815769711,0.8482763649063063,4.931781667066481,True,True,Gonzaga,Gonzaga,both_correct
2017,Gonzaga,South Carolina,1211,1376,1,Gonzaga,South Carolina,1.0,7.0,False,12.993396547745888,20.24061201471045,7.247215466964562,0.8195768724538034,0.9254384642181788,0.9038854945476166,-2.1552969670562305,True,32.05,20.8,11.249999999999996,0.8553172894227665,0.9038854945476166,0.9038854945476166,0.8553172894227665,4.856820512485005,True,True,Gonzaga,Gonzaga,both_correct
2018,Texas A&M,North Carolina,1401,1314,1,Texas A&M,North Carolina,7.0,2.0,True,-4.540051296091775,6.565237017926137,11.105288314017912,0.3158432048799956,0.2797008875090984,0.2961055627993005,1.640467529020212,False,16.96,23.59,-6.629999999999999,0.24898593176173017,0.2961055627993005,0.2961055627993005,0.24898593176173017,4.711963103757033,False,False,North Carolina,North Carolina,both_incorrect
2022,Tennessee,Michigan,1397,1276,0,Michigan,Tennessee,11.0,3.0,True,6.319348020899767,11.73902998686006,5.419681965960294,0.7491319826139569,0.7684996528588193,0.7501165722773127,-1.8383080581506617,False,25.1,16.61,8.490000000000002,0.7912072516595126,0.7501165722773127,0.24988342772268735,0.20879274834048744,4.10906793821999,False,False,Tennessee,Tennessee,both_incorrect
2017,SMU,USC,1374,1425,0,USC,SMU,11.0,6.0,True,8.741600922733198,14.127315189672032,5.385714266938834,0.7499427632391411,0.8427048844101235,0.8176197014895972,-2.5085182920526305,False,24.73,13.45,11.280000000000001,0.8559144461558497,0.8176197014895972,0.18238029851040283,0.14408555384415034,3.829474466625249,False,False,SMU,SMU,both_incorrect
2023,Tennessee,Duke,1397,1181,1,Tennessee,Duke,4.0,5.0,False,4.758168800797918,13.61257628934787,8.854407488549953,0.7818458007683293,0.7091731336306714,0.7021363147212573,-0.70368189094141,True,23.8,19.35,4.449999999999999,0.6640205839240556,0.7021363147212573,0.7021363147212573,0.6640205839240556,3.8115730797201652,True,True,Tennessee,Tennessee,both_correct
2019,Texas Tech,Virginia,1403,1438,0,Virginia,Texas Tech,1.0,3.0,False,-4.8168973128352945,12.858650471476892,17.675547784312187,0.3810674717599346,0.2688135969000647,0.2920042972607956,2.3190700360730956,True,30.03,34.22,-4.189999999999998,0.329405037900117,0.2920042972607956,0.7079957027392044,0.670594962099883,3.7400740639321417,True,True,Virginia,Virginia,both_correct
2023,Missouri,Utah St,1281,1429,1,Missouri,Utah St,7.0,10.0,False,-3.2994029805560388,4.919989084162879,8.219392064718917,0.5219462031716807,0.3316359587644619,0.358277824383789,2.6641865619327074,False,13.07,17.39,-4.32,0.3247946418402742,0.358277824383789,0.358277824383789,0.3247946418402742,3.3483182543514847,False,False,Utah St,Utah St,both_incorrect
2018,Xavier,Florida St,1462,1199,0,Florida St,Xavier,9.0,1.0,True,2.9436478152958045,10.103936021852377,7.160288206556572,0.452197370787691,0.6301416056101926,0.6045746884181471,-2.5566917192045513,False,21.51,17.77,3.740000000000002,0.6380389727922177,0.6045746884181471,0.3954253115818529,0.36196102720778234,3.3464284374070563,False,False,Xavier,Xavier,both_incorrect
2018,Purdue,Butler,1345,1139,1,Purdue,Butler,2.0,10.0,False,7.675626795895113,15.124860648559633,7.44923385266452,0.7258613215925583,0.8127315680591594,0.7879659689372326,-2.4765599121926773,True,26.27,19.05,7.219999999999999,0.7553931404381059,0.7879659689372326,0.7879659689372326,0.7553931404381059,3.2572828499126683,True,True,Purdue,Purdue,both_correct
